lon lat time count friction misfit shape s1a s1p s2a s2p s3a s3p
141.0 43.5 2009.0 35 0.5 46.13363 0.47513682 276.02145 3.4233246 6.375519 5.897812 156.03644 83.174545
142.0 43.5 2009.0 54 0.6 48.254177 0.815379 272.56165 4.648857 5.2557373 30.029228 174.6145 59.538284
143.0 43.5 2009.0 85 0.65 47.73258 0.86526555 298.43185 3.4869995 197.30527 72.475815 29.50943 17.151604
144.0 43.5 2009.0 66 0.45 34.46519 0.67248684 308.9816 1.1873474 205.35129 84.973694 39.08304 4.883316
141.0 44.5 2009.0 39 0.75 42.24468 0.8188547 259.46765 6.640106 349.83667 3.1669617 105.1897 82.63718
142.0 44.5 2009.0 58 0.8 45.820652 0.8248176 266.45908 10.040825 357.04593 3.3107452 105.08139 79.41664
143.0 44.5 2009.0 56 0.6 44.120113 0.78686327 295.2906 10.590576 29.63205 22.041565 181.30469 65.29997
142.0 45.5 2009.0 24 0.8 39.05712 0.9397049 257.86798 20.1167 349.06204 3.256256 87.86127 69.59874
129.0 31.5 2010.0 105 0.65 47.234627 0.68291175 251.61652 21.958015 49.456543 66.47505 158.35724 8.026695
130.0 31.5 2010.0 424 0.5 34.680386 0.5056566 58.721832 2.116928 304.55035 84.84166 148.89603 4.7017593
131.0 31.5 2010.0 447 0.65 34.32852 0.52379686 64.384094 10.507774 274.6784 77.87634 155.4972 5.9791946
132.0 31.5 2010.0 152 0.75 42.29821 0.5654178 266.28757 3.1625595 45.784058 85.84375 176.13861 2.6939316
133.0 31.5 2010.0 25 0.8 31.464296 0.6466131 106.519196 9.376282 15.847321 4.0620346 262.68207 79.76701
129.0 32.5 2010.0 187 0.8 48.431263 0.47305694 260.59192 17.27076 44.736206 69.0132 166.94708 11.556129
130.0 32.5 2010.0 1821 0.55 34.28162 0.25899833 260.8215 15.77021 60.703552 73.26079 169.2716 5.4706116
131.0 32.5 2010.0 2086 0.6 34.167 0.30968815 262.39926 10.862518 56.84247 77.992004 171.42627 5.0568924
132.0 32.5 2010.0 517 0.75 35.363 0.6838228 269.97983 2.302414 28.55951 85.195755 179.81006 4.2143097
133.0 32.5 2010.0 79 0.55 41.229115 0.7976473 273.63034 0.96151733 183.11914 27.995789 5.438019 61.98474
134.0 32.5 2010.0 26 0.65 25.552015 0.7829404 261.22668 2.968254 171.1513 1.4524841 55.106903 86.69481
129.0 33.5 2010.0 87 0.35 41.68546 0.12628797 77.05618 17.451515 304.44824 65.09122 172.64087 17.200577
130.0 33.5 2010.0 1620 0.5 31.316633 0.2762652 265.00317 27.548492 76.43765 62.18712 173.15784 3.532463
131.0 33.5 2010.0 2064 0.55 32.666496 0.35273746 265.33145 17.08918 73.27475 72.54852 174.27478 3.4327316
132.0 33.5 2010.0 717 0.75 30.415817 0.7771445 269.0433 3.5316467 58.034607 85.88133 178.9126 2.116417
133.0 33.5 2010.0 316 0.8 36.563606 0.9027966 276.01044 2.8430786 97.442535 87.15599 6.0139465 0.07095337
134.0 33.5 2010.0 256 0.8 33.354656 0.95698667 100.80499 2.4467773 10.728638 1.7870407 244.61989 86.96945
135.0 33.5 2010.0 701 0.65 27.3157 0.8158199 97.74921 4.037018 187.80222 0.7505493 288.31598 85.893524
136.0 33.5 2010.0 620 0.55 29.760965 0.7816779 96.6445 4.714737 186.66302 0.22438812 279.3817 85.27988
137.0 33.5 2010.0 45 0.8 46.1903 0.9548971 76.56552 12.434128 336.82983 37.486267 181.68645 49.7939
130.0 34.5 2010.0 210 0.8 31.475359 0.72076494 255.2624 17.836288 107.042725 69.2677 348.589 10.222946
131.0 34.5 2010.0 479 0.75 30.538923 0.7661475 261.61588 10.138176 114.612854 77.96445 352.76843 6.418213
132.0 34.5 2010.0 872 0.8 27.285543 0.8348647 273.44058 2.8790894 148.91406 84.92935 3.6506958 4.1705093
133.0 34.5 2010.0 1158 0.8 28.516033 0.8204675 282.07092 1.9339218 164.01196 85.89406 12.193359 3.6205826
134.0 34.5 2010.0 1075 0.8 30.588066 0.9140294 280.33582 0.19211578 12.194519 84.09766 190.31596 5.899147
135.0 34.5 2010.0 1693 0.6 28.608948 0.9237219 94.1369 1.3945236 184.30084 6.70298 352.44116 83.152176
136.0 34.5 2010.0 1897 0.6 30.18572 0.8581887 92.55792 0.6737442 182.58066 1.932518 343.34583 87.95329
137.0 34.5 2010.0 1444 0.75 33.163033 0.90425503 96.26764 5.8241806 188.10326 17.43393 348.45505 71.559204
138.0 34.5 2010.0 1259 0.7 44.442776 0.8853495 109.811066 14.003212 203.11896 13.027374 334.43927 70.68848
139.0 34.5 2010.0 1008 0.8 47.84529 0.87915254 130.19849 23.064934 39.42798 1.8088531 305.19092 66.85597
140.0 34.5 2010.0 500 0.8 39.706722 0.9918467 128.00299 27.797523 268.54184 55.673447 27.852844 18.483795
141.0 34.5 2010.0 28 0.8 27.470243 0.6927585 167.09412 34.454468 71.84854 7.589981 331.08926 54.481552
131.0 35.5 2010.0 66 0.65 28.292398 0.80931664 273.69986 1.0417175 150.12439 88.11694 3.7283936 1.5686264
132.0 35.5 2010.0 523 0.8 25.238804 0.82770854 278.64136 1.0148239 182.03969 81.2408 8.796661 8.699265
133.0 35.5 2010.0 904 0.8 26.248047 0.7896573 283.58957 1.4478226 175.62378 85.31558 13.702362 4.454117
134.0 35.5 2010.0 888 0.8 30.397509 0.88146985 280.47476 1.2608719 33.241974 86.74477 190.40868 3.0005875
135.0 35.5 2010.0 1102 0.75 29.598804 0.9764524 272.64972 0.7113037 2.82312 13.700943 179.73486 76.27986
136.0 35.5 2010.0 1749 0.7 30.456001 0.9117695 272.1541 1.5869064 182.13667 0.6297989 70.49646 88.29256
137.0 35.5 2010.0 3096 0.8 29.022928 0.96440727 106.00818 1.4590759 196.02138 0.51732635 305.53894 88.45184
138.0 35.5 2010.0 3109 0.7 35.047855 0.95625216 115.58646 3.294754 206.54877 16.263603 14.46109 73.387726
139.0 35.5 2010.0 1787 0.8 50.606194 0.8092038 127.03088 12.31662 217.31947 1.3214722 313.34732 77.61044
140.0 35.5 2010.0 739 0.8 50.17763 0.87135404 125.502106 19.006111 33.65988 5.3319855 288.6316 70.20427
141.0 35.5 2010.0 56 0.5 62.677944 0.8029028 174.63074 40.845123 307.539 38.220093 59.92038 25.80484
134.0 36.5 2010.0 43 0.7 40.160706 0.70911694 287.18512 11.170387 154.56482 73.74211 19.52063 11.660286
135.0 36.5 2010.0 91 0.8 39.870525 0.9509937 273.85342 5.27565 173.09064 63.688995 6.4000244 25.69632
136.0 36.5 2010.0 555 0.75 33.754635 0.91648126 277.00882 3.866867 186.73322 4.070587 50.4032 84.38101
137.0 36.5 2010.0 1908 0.75 25.758827 0.98266333 291.091 1.5786896 21.858398 25.91755 197.84773 64.02716
138.0 36.5 2010.0 2398 0.6 30.145287 0.935841 295.945 4.158699 205.08878 11.613564 45.331665 77.64467
139.0 36.5 2010.0 1918 0.7 38.09187 0.7121274 297.48053 2.1293945 207.4591 0.5761719 102.32611 87.79396
140.0 36.5 2010.0 1317 0.55 36.344147 0.63756526 111.11798 2.841301 21.066315 1.0415268 270.95428 86.973526
141.0 36.5 2010.0 393 0.4 33.295506 0.6628894 272.52603 1.8175507 2.7602234 7.3400803 168.70044 82.43581
136.0 37.5 2010.0 90 0.55 39.647114 0.62199044 118.229095 4.9271317 209.13976 10.445557 3.3328857 78.42697
137.0 37.5 2010.0 218 0.45 42.76412 0.55814743 286.56592 0.03237915 16.572144 10.893799 196.39764 79.10614
